# SPDX-FileCopyrightText: Copyright © 2026 ReallyMe LLC. All rights reserved
# SPDX-License-Identifier: MIT OR Apache-2.0
# part	requirement_id
1	EAA-4.2.1.2-01
1	EAA-4.2.1.2-03
1	EAA-4.2.1.3-01
1	EAA-4.2.1.3-02
1	EAA-4.2.1.3-03
1	EAA-4.2.1.4-01
1	EAA-4.2.1.4-02
1	EAA-4.2.1.4-03
1	EAA-4.2.1.4-04
1	EAA-4.2.10-01
1	EAA-4.2.10-02
1	EAA-4.2.10-03
1	EAA-4.2.10-04
1	EAA-4.2.10-05
1	EAA-4.2.11.1-01
1	EAA-4.2.11.1-02
1	EAA-4.2.11.1-03
1	EAA-4.2.11.1-04
1	EAA-4.2.11.1-05
1	EAA-4.2.12-01
1	EAA-4.2.12-02
1	EAA-4.2.12-03
1	EAA-4.2.12-04
1	EAA-4.2.13-01
1	EAA-4.2.13-02
1	EAA-4.2.2-01
1	EAA-4.2.2-02
1	EAA-4.2.3-01
1	EAA-4.2.3-02
1	EAA-4.2.3-03
1	EAA-4.2.4.1-01
1	EAA-4.2.4.1-02
1	EAA-4.2.4.1-03
1	EAA-4.2.4.1-04
1	EAA-4.2.4.1-05
1	EAA-4.2.4.1-06
1	EAA-4.2.4.1-07
1	EAA-4.2.4.1-08
1	EAA-4.2.4.1-09
1	EAA-4.2.4.1-10
1	EAA-4.2.5-01
1	EAA-4.2.5-02
1	EAA-4.2.5-03
1	EAA-4.2.5-04
1	EAA-4.2.5-05
1	EAA-4.2.5-06
1	EAA-4.2.6.2-01
1	EAA-4.2.6.2-02
1	EAA-4.2.6.3-01
1	EAA-4.2.6.3-02
1	EAA-4.2.6.4-01
1	EAA-4.2.6.4-02
1	EAA-4.2.6.5-01
1	EAA-4.2.6.5-02
1	EAA-4.2.6.5-03
1	EAA-4.2.6.5-04
1	EAA-4.2.6.6-01
1	EAA-4.2.6.6-02
1	EAA-4.2.7.1-01
1	EAA-4.2.7.1-02
1	EAA-4.2.7.1-03
1	EAA-4.2.7.2-01
1	EAA-4.2.8.2-01
1	EAA-4.2.8.2-02
1	EAA-4.2.8.2-03
1	EAA-4.2.8.3-01
1	EAA-4.2.8.4-01
1	EAA-4.2.9.2-01
1	EAA-4.2.9.2-02
1	EAA-4.2.9.2-03
1	EAA-4.2.9.2-04
1	EAA-4.2.9.2-05
1	EAA-4.2.9.2-06
1	EAA-4.2.9.3-01
1	EAA-4.2.9.3-02
1	EAA-4.2.9.3-03
1	EAA-4.2.9.3-04
1	EAA-4.3-01
1	EAA-4.3-02
1	EAA-4.3-03
1	EAA-4.3-04
1	EAA-4.3-05
1	EAA-4.3-06
1	EAA-4.3-07
1	EAA-4.3-08
1	EAA-4.4.2.2-01
1	EAA-4.4.2.2-02
1	EAA-4.4.2.2-03
1	EAA-4.4.2.3-01
1	EAA-4.4.2.3-02
1	EAA-4.4.2.3-03
1	EAA-4.4.2.4-01
1	EAA-4.4.2.4-02
1	EAA-4.4.2.4-03
1	EAA-4.4.2.4-04
1	EAA-4.4.2.4-05
1	EAA-4.4.2.4-06
1	EAA-4.4.2.5-01
1	EAA-4.4.2.5-02
1	EAA-4.4.2.5-03
1	EAA-4.4.2.5-04
1	EAA-4.5-01
1	EAA-4.5-02
1	EAA-4.5-03
1	EAA-4.5-04
1	EAA-4.6.1-01
1	EAA-4.6.1-02
1	EAA-4.6.1-03
1	EAA-4.6.1-04
1	EAA-4.6.1-05
1	EAA-4.6.1-06
1	EAA-4.6.1-07
1	EAA-5.1-01
1	EAA-5.2.1.2-01
1	EAA-5.2.1.2-02
1	EAA-5.2.1.2-03
1	EAA-5.2.10.1-01
1	EAA-5.2.10.1-02
1	EAA-5.2.10.1-03
1	EAA-5.2.10.1-04
1	EAA-5.2.10.1-05
1	EAA-5.2.10.1-06
1	EAA-5.2.10.1-07
1	EAA-5.2.10.1-08
1	EAA-5.2.10.1-09
1	EAA-5.2.10.1-10
1	EAA-5.2.10.1-11
1	EAA-5.2.10.1-12
1	EAA-5.2.11-01
1	EAA-5.2.12-01
1	EAA-5.2.12-02
1	EAA-5.2.2.1-01
1	EAA-5.2.3-01
1	EAA-5.2.3-02
1	EAA-5.2.4.1-01
1	EAA-5.2.4.1-02
1	EAA-5.2.4.1-03
1	EAA-5.2.4.1-04
1	EAA-5.2.4.1-05
1	EAA-5.2.4.1-06
1	EAA-5.2.4.1-07
1	EAA-5.2.4.1-08
1	EAA-5.2.4.1-09
1	EAA-5.2.4.1-10
1	EAA-5.2.4.1-11
1	EAA-5.2.5.1-01
1	EAA-5.2.5.1-02
1	EAA-5.2.5.2-01
1	EAA-5.2.5.2-02
1	EAA-5.2.5.3-01
1	EAA-5.2.5.3-02
1	EAA-5.2.5.3-03
1	EAA-5.2.5.4-01
1	EAA-5.2.6-01
1	EAA-5.2.6-02
1	EAA-5.2.7.1-01
1	EAA-5.2.7.1-02
1	EAA-5.2.7.1-03
1	EAA-5.2.7.1-04
1	EAA-5.2.7.2-01
1	EAA-5.2.7.2-02
1	EAA-5.2.7.2-03
1	EAA-5.2.7.2-04
1	EAA-5.2.7.2-05
1	EAA-5.2.7.2-06
1	EAA-5.2.8.1-01
1	EAA-5.2.8.2-01
1	EAA-5.2.8.2-02
1	EAA-5.2.8.2-03
1	EAA-5.2.8.2-04
1	EAA-5.2.8.2-05
1	EAA-5.2.9-01
1	EAA-5.3-01
1	EAA-5.3-02
1	EAA-5.3-03
1	EAA-5.3-04
1	EAA-5.3-05
1	EAA-5.3-06
1	EAA-5.3-07
1	EAA-5.4.1.1-01
1	EAA-5.4.1.2-01
1	EAA-5.4.1.3-01
1	EAA-5.4.1.3-02
1	EAA-5.4.1.4-01
1	EAA-5.4.1.4-02
1	EAA-5.4.1.5-01
1	EAA-5.4.1.5-02
1	EAA-5.5-01
1	EAA-5.5-02
1	EAA-5.5-03
1	EAA-5.5-04
1	EAA-5.5-05
1	EAA-5.5-06
1	EAA-5.6.1-01
1	EAA-6.1-01
1	EAA-6.1-02
1	EAA-6.1-03
1	EAA-6.1-04
1	EAA-6.1-05
1	EAA-6.1-06
1	EAA-6.1-07
1	EAA-6.1-08
1	EAA-6.2.10.1-01
1	EAA-6.2.10.1-02
1	EAA-6.2.10.1-03
1	EAA-6.2.11-01
1	EAA-6.2.12-01
1	EAA-6.2.12-02
1	EAA-6.2.12-03
1	EAA-6.2.12-04
1	EAA-6.2.12-05
1	EAA-6.2.2.1-01
1	EAA-6.2.2.1-02
1	EAA-6.2.2.1-03
1	EAA-6.2.3-01
1	EAA-6.2.3-02
1	EAA-6.2.3-03
1	EAA-6.2.3-04
1	EAA-6.2.4.1-01
1	EAA-6.2.4.1-02
1	EAA-6.2.4.1-03
1	EAA-6.2.4.1-04
1	EAA-6.2.4.1-05
1	EAA-6.2.4.1-06
1	EAA-6.2.4.1-07
1	EAA-6.2.4.1-08
1	EAA-6.2.4.1-09
1	EAA-6.2.4.1-10
1	EAA-6.2.4.1-11
1	EAA-6.2.4.1-12
1	EAA-6.2.4.1-13
1	EAA-6.2.5.1-01
1	EAA-6.2.5.1-02
1	EAA-6.2.5.1-03
1	EAA-6.2.5.1-04
1	EAA-6.2.5.1-05
1	EAA-6.2.5.2-01
1	EAA-6.2.5.3-01
1	EAA-6.2.5.3-02
1	EAA-6.2.5.3-03
1	EAA-6.2.5.4-01
1	EAA-6.2.5.4-02
1	EAA-6.2.6-01
1	EAA-6.2.6-02
1	EAA-6.2.6-03
1	EAA-6.2.6-04
1	EAA-6.2.7.1-01
1	EAA-6.2.7.1-02
1	EAA-6.2.7.1-03
1	EAA-6.2.7.1-04
1	EAA-6.2.7.1-05
1	EAA-6.2.7.2-01
1	EAA-6.2.7.2-02
1	EAA-6.2.7.2-03
1	EAA-6.2.8.1-01
1	EAA-6.2.8.2-01
1	EAA-6.2.8.2-02
1	EAA-6.2.8.2-03
1	EAA-6.2.8.2-04
1	EAA-6.2.8.2-05
1	EAA-6.2.9-01
1	EAA-6.3-01
1	EAA-6.3-02
1	EAA-6.3-03
1	EAA-6.3-04
1	EAA-6.3-05
1	EAA-6.4.1.2-01
1	EAA-6.4.1.3-01
1	EAA-6.4.1.4-01
1	EAA-6.4.1.4-02
1	EAA-6.4.1.5-01
1	EAA-6.5-01
1	EAA-6.5-02
1	EAA-6.6.1-01
1	EAA-7.1-01
1	EAA-7.2.1.1-01
1	EAA-7.2.1.1-02
1	EAA-7.2.1.2-01
1	EAA-7.2.1.2-02
1	EAA-7.2.1.2-03
1	EAA-7.2.1.2-04
1	EAA-7.2.1.3-01
1	EAA-7.2.1.3-02
1	EAA-7.2.1.3-03
1	EAA-7.2.1.3-04
1	EAA-7.2.10-01
1	EAA-7.2.10-02
1	EAA-7.2.10-03
1	EAA-7.2.10-04
1	EAA-7.2.10-05
1	EAA-7.2.11.1-01
1	EAA-7.2.11.1-02
1	EAA-7.2.11.1-03
1	EAA-7.2.11.1-04
1	EAA-7.2.12-01
1	EAA-7.2.12-02
